solar,wind,backup capacity
0.1,0.1,544.81
0.1,0.3,499.37
0.1,0.4,482.15
0.1,0.5,466.92
0.1,0.6,452.1
0.1,0.7,443.73
0.1,0.9,429.27
0.3,0.4,486.74
0.3,0.5,469.93
0.3,0.6,455.27
0.3,0.7,445.15
0.3,0.9,429.41
0.4,0.4,486.98
0.4,0.5,474.93
0.4,0.6,457.25
0.4,0.7,445.36
0.4,0.9,429.7
0.5,0.1,545.7
0.5,0.3,507.68
0.5,0.4,487.35
0.5,0.5,475.67
0.5,0.6,457.64
0.5,0.7,445.43
0.6,0.4,487.44
0.6,0.5,475.71
0.6,0.6,457.81
0.6,0.7,445.67
0.7,0.4,487.65
0.7,0.5,475.73
0.7,0.6,457.84
0.9,0.1,545.78
0.9,0.3,506.2
0.9,0.4,486.35
