solar,wind,LDES energy cap
0.1,0.3,2.754711596712456e+38
0.1,0.5,3.112639105687081e+34
0.1,0.6,3.626345921147334e+33
0.1,0.7,1443.0
0.1,0.9,1.346567724298893e+33
0.3,0.5,2.2804519240112682e+34
0.3,0.6,5.765899780927813e+34
0.3,0.7,5.0391563036138606e+33
0.4,0.4,5.974292536912541e+34
0.4,0.5,8.933412008685106e+31
0.4,0.6,1.586819378221979e+33
0.4,0.7,2.2097482621779698e+30
0.5,0.1,1.2426985506217602e+35
0.5,0.3,2.123913557077477e+33
0.5,0.4,1.336076669384819e+37
0.5,0.7,1.8594809671457317e+32
0.6,0.4,4.6229456266293405e+31
0.6,0.5,3.361260321707008e+32
0.6,0.6,9.203433975959273e+33
0.6,0.7,2.0286772310314053e+34
0.7,0.4,34.5
0.7,0.5,2.7947542673607613e+17
0.7,0.6,2.293496018367502e+31
0.9,0.1,3.9123129209758185e+34
0.9,0.4,1.3494456617861466e+35
