solar,wind,SDES discharge cap
0.1,0.3,1.0288714292260825e+43
0.1,0.5,1.092243437851233e+39
0.1,0.6,1.3086502120219008e+38
0.1,0.7,39091685.7
0.1,0.9,4.719990487750851e+37
0.3,0.5,5.992219584170063e+38
0.3,0.6,1.502494874049742e+39
0.3,0.7,1.4147698229086655e+38
0.4,0.4,1.9407391464051953e+39
0.4,0.5,2.2432422104709553e+36
0.4,0.6,4.405927069972298e+37
0.4,0.7,5.816370036391229e+34
0.5,0.1,9.846861251170664e+38
0.5,0.3,7.961296884251362e+37
0.5,0.4,4.003044059573634e+41
0.5,0.7,4.610472696004696e+36
0.6,0.4,1.2627552828626106e+36
0.6,0.5,8.865406067985911e+36
0.6,0.6,2.473572678385565e+38
0.6,0.7,2.741177272600668e+38
0.7,0.4,399445.1
0.7,0.5,4.368717116247402e+21
0.7,0.6,5.273331113215276e+35
0.9,0.1,6.477285150703162e+38
0.9,0.4,3.054974835848802e+39
