solar,wind,system cost
0.1,0.3,6.686976455946091e+41
0.1,0.5,5.392477988415033e+37
0.1,0.6,6.613676947988933e+36
0.1,0.7,2300304.8
0.1,0.9,2.936836031270534e+36
0.3,0.5,2.8602719806934753e+37
0.3,0.6,3.2706773873709336e+38
0.3,0.7,1.0417003154166778e+37
0.4,0.4,1.605570251207886e+38
0.4,0.5,1.1564175482070334e+35
0.4,0.6,2.718217222514604e+36
0.4,0.7,3.5009110641110286e+33
0.5,0.1,5.1653464157769375e+37
0.5,0.3,4.111540425669869e+36
0.5,0.4,6.753007469776672e+40
0.5,0.7,2.4092043606489844e+35
0.6,0.4,6.089849393558666e+34
0.6,0.5,4.708676243541465e+35
0.6,0.6,1.4708850581323503e+37
0.6,0.7,1.0999786018716243e+37
0.7,0.4,16149.0
0.7,0.5,1.8617294711381993e+20
0.7,0.6,2.3909950493744356e+34
0.9,0.1,4.412125497236471e+37
0.9,0.4,1.2837665345087397e+38
