solar,wind,ES wind cap
0.1,0.1,0.8
0.1,0.3,0.8
0.1,0.4,10.9
0.1,0.5,29.8
0.1,0.6,29.9
0.1,0.7,29.9
0.1,0.9,44.2
0.3,0.1,0.8
0.3,0.3,0.0
0.3,0.4,0.2
0.3,0.5,0.9
0.3,0.6,12.9
0.3,0.7,10.5
0.3,0.9,6.6
0.4,0.1,0.4
0.4,0.3,0.0
0.4,0.4,0.0
0.4,0.5,0.8
0.4,0.6,10.1
0.4,0.7,7.4
0.4,0.9,3.5
0.5,0.1,0.1
0.5,0.3,0.0
0.5,0.4,0.0
0.5,0.5,0.8
0.5,0.6,8.9
0.5,0.7,5.8
0.6,0.1,0.1
0.6,0.3,0.0
0.6,0.4,0.0
0.6,0.5,0.8
0.6,0.6,7.3
0.6,0.7,4.8
0.7,0.1,0.0
0.7,0.3,0.0
0.7,0.4,0.0
0.7,0.5,0.8
0.7,0.6,0.9
0.9,0.1,0.0
0.9,0.3,0.0
0.9,0.4,0.0
