solar,wind,VRE curt
0.1,0.1,0.1
0.1,0.3,1.7
0.1,0.4,2.8
0.1,0.5,5.8
0.1,0.6,10.7
0.1,0.7,17.4
0.1,0.9,33.3
0.3,0.1,3.7
0.3,0.3,7.8
0.3,0.4,10.8
0.3,0.5,15.9
0.3,0.6,22.4
0.3,0.7,30.4
0.3,0.9,48.0
0.4,0.1,10.4
0.4,0.3,15.6
0.4,0.4,19.1
0.4,0.5,23.8
0.4,0.6,29.9
0.4,0.7,37.8
0.4,0.9,55.3
0.5,0.1,18.2
0.5,0.3,22.8
0.5,0.4,26.1
0.5,0.5,31.2
0.5,0.6,37.5
0.5,0.7,45.6
0.6,0.1,25.7
0.6,0.3,30.7
0.6,0.4,34.0
0.6,0.5,39.1
0.6,0.6,45.9
0.6,0.7,54.0
0.7,0.1,33.3
0.7,0.3,38.2
0.7,0.4,41.7
0.7,0.5,47.6
0.7,0.6,54.9
0.9,0.1,50.1
0.9,0.3,56.1
0.9,0.4,60.2
