solar,wind,VRE share
0.1,0.1,19.9
0.1,0.3,38.3
0.1,0.4,47.2
0.1,0.5,54.2
0.1,0.6,59.3
0.1,0.7,62.6
0.1,0.9,66.7
0.3,0.1,36.3
0.3,0.3,52.3
0.3,0.4,59.2
0.3,0.5,64.0
0.3,0.6,67.6
0.3,0.7,69.6
0.3,0.9,72.0
0.4,0.1,39.6
0.4,0.3,54.4
0.4,0.4,61.0
0.4,0.5,66.2
0.4,0.6,70.1
0.4,0.7,72.2
0.4,0.9,74.7
0.5,0.1,41.7
0.5,0.3,57.2
0.5,0.4,64.0
0.5,0.5,68.8
0.5,0.6,72.6
0.5,0.7,74.4
0.6,0.1,44.3
0.6,0.3,59.3
0.6,0.4,66.0
0.6,0.5,70.8
0.6,0.6,74.1
0.6,0.7,75.9
0.7,0.1,46.7
0.7,0.3,61.9
0.7,0.4,68.2
0.7,0.5,72.4
0.7,0.6,75.1
0.9,0.1,49.9
0.9,0.3,63.9
0.9,0.4,69.9
