solar,wind,backup capacity
0.1,0.1,514.31
0.1,0.3,482.39
0.1,0.4,456.64
0.1,0.5,434.65
0.1,0.6,419.64
0.1,0.7,409.58
0.1,0.9,395.95
0.3,0.1,514.35
0.3,0.3,484.83
0.3,0.4,465.24
0.3,0.5,442.37
0.3,0.6,427.07
0.3,0.7,416.11
0.3,0.9,398.94
0.4,0.1,514.73
0.4,0.3,484.7
0.4,0.4,464.74
0.4,0.5,439.66
0.4,0.6,420.96
0.4,0.7,409.82
0.4,0.9,391.06
0.5,0.1,512.29
0.5,0.3,476.58
0.5,0.4,455.15
0.5,0.5,431.14
0.5,0.6,412.97
0.5,0.7,402.58
0.6,0.1,504.25
0.6,0.3,469.86
0.6,0.4,448.39
0.6,0.5,423.84
0.6,0.6,407.13
0.6,0.7,396.61
0.7,0.1,496.34
0.7,0.3,459.72
0.7,0.4,439.29
0.7,0.5,418.03
0.7,0.6,405.22
0.9,0.1,484.09
0.9,0.3,452.33
0.9,0.4,433.92
