solar,wind,solar cap
0.1,0.1,247.3
0.1,0.3,247.6
0.1,0.4,248.8
0.1,0.5,250.3
0.1,0.6,250.4
0.1,0.7,250.4
0.1,0.9,251.0
0.3,0.1,838.8
0.3,0.3,823.8
0.3,0.4,815.0
0.3,0.5,806.7
0.3,0.6,798.7
0.3,0.7,790.9
0.3,0.9,780.8
0.4,0.1,1092.5
0.4,0.3,1067.1
0.4,0.4,1052.3
0.4,0.5,1037.7
0.4,0.6,1024.9
0.4,0.7,1014.6
0.4,0.9,1001.4
0.5,0.1,1325.7
0.5,0.3,1288.3
0.5,0.4,1269.9
0.5,0.5,1254.1
0.5,0.6,1240.1
0.5,0.7,1230.3
0.6,0.1,1543.5
0.6,0.3,1504.0
0.6,0.4,1484.4
0.6,0.5,1468.2
0.6,0.6,1453.9
0.6,0.7,1444.0
0.7,0.1,1759.1
0.7,0.3,1716.8
0.7,0.4,1697.4
0.7,0.5,1681.1
0.7,0.6,1666.2
0.9,0.1,2186.0
0.9,0.3,2145.1
0.9,0.4,2126.5
