solar,wind,solar curt
0.1,0.1,0.2
0.1,0.3,0.3
0.1,0.4,0.3
0.1,0.5,0.3
0.1,0.6,0.4
0.1,0.7,0.6
0.1,0.9,0.7
0.3,0.1,10.6
0.3,0.3,14.1
0.3,0.4,16.3
0.3,0.5,18.6
0.3,0.6,20.6
0.3,0.7,22.5
0.3,0.9,25.2
0.4,0.1,24.2
0.4,0.3,28.3
0.4,0.4,30.6
0.4,0.5,31.6
0.4,0.6,32.4
0.4,0.7,33.9
0.4,0.9,35.6
0.5,0.1,35.0
0.5,0.3,36.5
0.5,0.4,38.0
0.5,0.5,39.6
0.5,0.6,40.8
0.5,0.7,42.3
0.6,0.1,41.5
0.6,0.3,43.5
0.6,0.4,44.8
0.6,0.5,46.0
0.6,0.6,47.8
0.6,0.7,49.1
0.7,0.1,46.5
0.7,0.3,47.9
0.7,0.4,49.4
0.7,0.5,51.4
0.7,0.6,53.7
0.9,0.1,54.8
0.9,0.3,57.1
0.9,0.4,58.7
