solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,10.0
0.1,0.7,9.9
0.1,0.9,9.9
0.3,0.1,26.8
0.3,0.3,25.8
0.3,0.4,25.1
0.3,0.5,24.4
0.3,0.6,23.8
0.3,0.7,23.2
0.3,0.9,22.4
0.4,0.1,30.3
0.4,0.3,28.7
0.4,0.4,27.8
0.4,0.5,27.4
0.4,0.6,27.0
0.4,0.7,26.5
0.4,0.9,25.8
0.5,0.1,32.5
0.5,0.3,31.7
0.5,0.4,31.0
0.5,0.5,30.2
0.5,0.6,29.6
0.5,0.7,28.9
0.6,0.1,35.1
0.6,0.3,33.9
0.6,0.4,33.1
0.6,0.5,32.4
0.6,0.6,31.3
0.6,0.7,30.5
0.7,0.1,37.5
0.7,0.3,36.5
0.7,0.4,35.4
0.7,0.5,34.0
0.7,0.6,32.4
0.9,0.1,40.7
0.9,0.3,38.6
0.9,0.4,37.2
