solar,wind,system cost
0.1,0.1,200.3
0.1,0.3,200.4
0.1,0.4,203.4
0.1,0.5,207.9
0.1,0.6,214.2
0.1,0.7,221.9
0.1,0.9,240.0
0.3,0.1,203.6
0.3,0.3,207.8
0.3,0.4,212.2
0.3,0.5,218.1
0.3,0.6,269.6
0.3,0.7,233.9
0.3,0.9,252.6
0.4,0.1,211.4
0.4,0.3,216.4
0.4,0.4,221.2
0.4,0.5,227.3
0.4,0.6,234.8
0.4,0.7,243.3
0.4,0.9,262.1
0.5,0.1,220.7
0.5,0.3,226.1
0.5,0.4,230.9
0.5,0.5,237.2
0.5,0.6,244.6
0.5,0.7,253.3
0.6,0.1,230.4
0.6,0.3,235.9
0.6,0.4,240.9
0.6,0.5,247.0
0.6,0.6,254.6
0.6,0.7,263.1
0.7,0.1,240.3
0.7,0.3,246.0
0.7,0.4,250.8
0.7,0.5,257.1
0.7,0.6,265.4
0.9,0.1,260.4
0.9,0.3,265.9
0.9,0.4,270.8
