solar,wind,DK solar cap
0.1,0.1,0.0
0.1,0.3,0.0
0.1,0.4,0.4
0.1,0.5,0.8
0.1,0.6,0.0
0.1,0.7,0.0
0.1,0.9,0.0
0.3,0.1,1.4
0.3,0.3,1.7
0.3,0.4,2.6
0.3,0.5,3.9
0.3,0.6,1.7
0.3,0.7,1.4
0.3,0.9,0.4
0.4,0.1,1.4
0.4,0.3,3.4
0.4,0.4,4.0
0.4,0.5,4.0
0.4,0.6,4.0
0.4,0.7,3.2
0.4,0.9,1.4
0.5,0.1,1.4
0.5,0.3,4.0
0.5,0.4,4.0
0.5,0.5,4.4
0.5,0.6,4.0
0.5,0.7,3.9
0.6,0.1,1.4
0.6,0.3,4.0
0.6,0.4,4.5
0.6,0.5,5.6
0.6,0.6,5.0
0.6,0.7,4.0
0.7,0.1,4.0
0.7,0.3,4.0
0.7,0.4,6.1
0.7,0.5,6.9
0.7,0.6,5.6
0.9,0.1,4.4
0.9,0.3,4.9
0.9,0.4,8.3
