solar,wind,ES solar cap
0.1,0.1,42.0
0.1,0.3,42.0
0.1,0.4,38.9
0.1,0.5,28.5
0.1,0.6,28.6
0.1,0.7,28.6
0.1,0.9,33.5
0.3,0.1,229.5
0.3,0.3,220.3
0.3,0.4,211.6
0.3,0.5,198.4
0.3,0.6,181.3
0.3,0.7,167.8
0.3,0.9,139.0
0.4,0.1,308.5
0.4,0.3,275.7
0.4,0.4,264.7
0.4,0.5,249.6
0.4,0.6,227.9
0.4,0.7,206.1
0.4,0.9,180.2
0.5,0.1,361.0
0.5,0.3,305.1
0.5,0.4,295.9
0.5,0.5,280.1
0.5,0.6,256.9
0.5,0.7,240.8
0.6,0.1,406.5
0.6,0.3,344.2
0.6,0.4,323.6
0.6,0.5,317.2
0.6,0.6,298.0
0.6,0.7,289.3
0.7,0.1,466.2
0.7,0.3,405.3
0.7,0.4,373.7
0.7,0.5,361.4
0.7,0.6,350.2
0.9,0.1,565.9
0.9,0.3,520.4
0.9,0.4,504.5
