solar,wind,LDES discharge cap
0.1,0.1,39.7
0.1,0.3,48.6
0.1,0.4,60.8
0.1,0.5,73.4
0.1,0.6,87.3
0.1,0.7,99.8
0.1,0.9,127.5
0.3,0.1,107.7
0.3,0.3,119.0
0.3,0.4,127.9
0.3,0.5,147.0
0.3,0.6,162.9
0.3,0.7,176.7
0.3,0.9,176.7
0.4,0.1,139.3
0.4,0.3,151.9
0.4,0.4,166.0
0.4,0.5,185.5
0.4,0.6,203.5
0.4,0.7,217.2
0.4,0.9,209.0
0.5,0.1,168.1
0.5,0.3,187.2
0.5,0.4,202.6
0.5,0.5,224.7
0.5,0.6,243.9
0.5,0.7,251.6
0.6,0.1,193.0
0.6,0.3,217.2
0.6,0.4,233.8
0.6,0.5,252.5
0.6,0.6,276.2
0.6,0.7,271.5
0.7,0.1,211.1
0.7,0.3,240.8
0.7,0.4,258.3
0.7,0.5,274.5
0.7,0.6,294.2
0.9,0.1,243.1
0.9,0.3,279.1
0.9,0.4,295.8
