solar,wind,SDES absolute dispatch
0.1,0.1,1736.6
0.1,0.3,2223.6
0.1,0.4,2678.2
0.1,0.5,2022.8
0.1,0.6,2353.7
0.1,0.7,2506.8
0.1,0.9,2326.6
0.3,0.1,2177.0
0.3,0.3,2142.5
0.3,0.4,2525.7
0.3,0.5,1854.5
0.3,0.6,1764.2
0.3,0.7,2245.7
0.3,0.9,1902.8
0.4,0.1,1867.1
0.4,0.3,2182.5
0.4,0.4,2544.1
0.4,0.5,2084.1
0.4,0.6,2606.0
0.4,0.7,2426.8
0.4,0.9,2794.5
0.5,0.1,2161.0
0.5,0.3,2757.4
0.5,0.4,2698.9
0.5,0.5,2144.1
0.5,0.6,2385.3
0.5,0.7,2226.0
0.6,0.1,2758.3
0.6,0.3,2627.6
0.6,0.4,2450.1
0.6,0.5,2634.3
0.6,0.6,2698.6
0.6,0.7,2370.8
0.7,0.1,2653.6
0.7,0.3,3044.7
0.7,0.4,2964.2
0.7,0.5,2274.8
0.7,0.6,2565.1
0.9,0.1,3547.8
0.9,0.3,2324.6
0.9,0.4,2692.3
