solar,wind,VRE curt
0.1,0.1,0.1
0.1,0.3,0.9
0.1,0.4,1.6
0.1,0.5,2.7
0.1,0.6,5.8
0.1,0.7,9.6
0.1,0.9,15.9
0.3,0.1,4.0
0.3,0.3,2.5
0.3,0.4,2.4
0.3,0.5,3.0
0.3,0.6,5.0
0.3,0.7,7.6
0.3,0.9,15.2
0.4,0.1,7.3
0.4,0.3,4.7
0.4,0.4,4.3
0.4,0.5,4.7
0.4,0.6,6.1
0.4,0.7,8.4
0.4,0.9,16.7
0.5,0.1,10.5
0.5,0.3,7.2
0.5,0.4,6.6
0.5,0.5,6.7
0.5,0.6,7.9
0.5,0.7,10.5
0.6,0.1,13.9
0.6,0.3,10.3
0.6,0.4,9.5
0.6,0.5,9.6
0.6,0.6,10.6
0.6,0.7,14.1
0.7,0.1,18.2
0.7,0.3,13.8
0.7,0.4,12.7
0.7,0.5,12.7
0.7,0.6,13.9
0.9,0.1,25.0
0.9,0.3,20.3
0.9,0.4,19.2
