solar,wind,VRE share
0.1,0.1,20.0
0.1,0.3,39.1
0.1,0.4,47.8
0.1,0.5,56.2
0.1,0.6,63.1
0.1,0.7,68.9
0.1,0.9,78.8
0.3,0.1,38.2
0.3,0.3,57.6
0.3,0.4,66.6
0.3,0.5,74.5
0.3,0.6,81.1
0.3,0.7,86.6
0.3,0.9,94.6
0.4,0.1,46.1
0.4,0.3,65.5
0.4,0.4,74.4
0.4,0.5,82.1
0.4,0.6,88.7
0.4,0.7,94.0
0.4,0.9,101.0
0.5,0.1,53.3
0.5,0.3,72.7
0.5,0.4,81.3
0.5,0.5,88.9
0.5,0.6,95.4
0.5,0.7,100.2
0.6,0.1,59.7
0.6,0.3,78.8
0.6,0.4,87.3
0.6,0.5,94.5
0.6,0.6,100.7
0.6,0.7,104.2
0.7,0.1,64.6
0.7,0.3,83.8
0.7,0.4,92.3
0.7,0.5,99.2
0.7,0.6,104.7
0.9,0.1,73.4
0.9,0.3,92.3
0.9,0.4,100.1
