solar,wind,backup capacity factor high
0.1,0.1,93.6
0.1,0.3,92.98
0.1,0.4,91.66
0.1,0.5,89.34
0.1,0.6,87.74
0.1,0.7,87.44
0.1,0.9,86.68
0.3,0.1,87.71
0.3,0.3,86.8
0.3,0.4,84.72
0.3,0.5,83.62
0.3,0.6,83.54
0.3,0.7,83.79
0.3,0.9,78.85
0.4,0.1,85.43
0.4,0.3,83.93
0.4,0.4,82.15
0.4,0.5,80.51
0.4,0.6,79.47
0.4,0.7,79.66
0.4,0.9,70.91
0.5,0.1,83.36
0.5,0.3,82.09
0.5,0.4,80.28
0.5,0.5,78.5
0.5,0.6,76.14
0.5,0.7,73.98
0.6,0.1,81.75
0.6,0.3,80.45
0.6,0.4,78.99
0.6,0.5,76.14
0.6,0.6,72.9
0.6,0.7,68.21
0.7,0.1,80.53
0.7,0.3,79.52
0.7,0.4,77.56
0.7,0.5,73.65
0.7,0.6,68.53
0.9,0.1,79.07
0.9,0.3,78.0
0.9,0.4,75.1
