solar,wind,solar absolute curt
0.1,0.1,318691.5
0.1,0.3,4718.4
0.1,0.4,3604.8
0.1,0.5,11999.6
0.1,0.6,36755.8
0.1,0.7,77974.3
0.1,0.9,432135.7
0.3,0.1,47911629.5
0.3,0.3,28189188.2
0.3,0.4,20434687.2
0.3,0.5,14808004.6
0.3,0.6,11594914.0
0.3,0.7,11072228.8
0.3,0.9,17446955.3
0.4,0.1,114160033.2
0.4,0.3,78357783.0
0.4,0.4,64840034.5
0.4,0.5,52114267.9
0.4,0.6,46709613.5
0.4,0.7,44839212.1
0.4,0.9,66708794.8
0.5,0.1,202300910.6
0.5,0.3,153890877.2
0.5,0.4,135070031.5
0.5,0.5,118249625.0
0.5,0.6,112687915.4
0.5,0.7,123988733.1
0.6,0.1,313683346.6
0.6,0.3,261560516.9
0.6,0.4,239356325.2
0.6,0.5,228695756.6
0.6,0.6,225073569.3
0.6,0.7,265278383.4
0.7,0.1,474735506.5
0.7,0.3,406247502.2
0.7,0.4,381346206.1
0.7,0.5,369656432.9
0.7,0.6,375832025.8
0.9,0.1,820300340.7
0.9,0.3,754577810.5
0.9,0.4,743760119.9
