solar,wind,solar cap
0.1,0.1,253.9
0.1,0.3,267.0
0.1,0.4,272.1
0.1,0.5,276.5
0.1,0.6,277.7
0.1,0.7,278.8
0.1,0.9,278.3
0.3,0.1,748.6
0.3,0.3,765.0
0.3,0.4,776.3
0.3,0.5,789.6
0.3,0.6,803.4
0.3,0.7,811.5
0.3,0.9,808.0
0.4,0.1,992.4
0.4,0.3,1018.6
0.4,0.4,1032.6
0.4,0.5,1045.6
0.4,0.6,1057.5
0.4,0.7,1065.7
0.4,0.9,1052.9
0.5,0.1,1242.1
0.5,0.3,1270.1
0.5,0.4,1286.4
0.5,0.5,1300.0
0.5,0.6,1309.2
0.5,0.7,1310.9
0.6,0.1,1490.9
0.6,0.3,1524.1
0.6,0.4,1543.2
0.6,0.5,1553.7
0.6,0.6,1563.6
0.6,0.7,1556.6
0.7,0.1,1741.2
0.7,0.3,1779.5
0.7,0.4,1797.0
0.7,0.5,1810.8
0.7,0.6,1816.4
0.9,0.1,2245.3
0.9,0.3,2284.2
0.9,0.4,2297.5
