solar,wind,solar curt
0.1,0.1,0.1
0.1,0.3,0.0
0.1,0.4,0.0
0.1,0.5,0.0
0.1,0.6,0.0
0.1,0.7,0.0
0.1,0.9,0.1
0.3,0.1,5.0
0.3,0.3,2.9
0.3,0.4,2.1
0.3,0.5,1.5
0.3,0.6,1.2
0.3,0.7,1.1
0.3,0.9,1.8
0.4,0.1,8.9
0.4,0.3,6.1
0.4,0.4,5.0
0.4,0.5,4.1
0.4,0.6,3.6
0.4,0.7,3.5
0.4,0.9,5.2
0.5,0.1,12.6
0.5,0.3,9.6
0.5,0.4,8.4
0.5,0.5,7.4
0.5,0.6,7.0
0.5,0.7,7.7
0.6,0.1,16.3
0.6,0.3,13.6
0.6,0.4,12.4
0.6,0.5,11.9
0.6,0.6,11.7
0.6,0.7,13.8
0.7,0.1,21.1
0.7,0.3,18.1
0.7,0.4,16.9
0.7,0.5,16.4
0.7,0.6,16.7
0.9,0.1,28.4
0.9,0.3,26.1
0.9,0.4,25.7
