solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,9.9
0.1,0.4,9.7
0.1,0.5,9.6
0.1,0.6,9.6
0.1,0.7,9.5
0.1,0.9,9.4
0.3,0.1,28.4
0.3,0.3,28.7
0.3,0.4,28.6
0.3,0.5,28.4
0.3,0.6,28.1
0.3,0.7,27.9
0.3,0.9,27.6
0.4,0.1,36.3
0.4,0.3,36.9
0.4,0.4,36.9
0.4,0.5,36.7
0.4,0.6,36.4
0.4,0.7,36.1
0.4,0.9,35.7
0.5,0.1,43.5
0.5,0.3,44.3
0.5,0.4,44.3
0.5,0.5,44.1
0.5,0.6,43.8
0.5,0.7,43.1
0.6,0.1,49.9
0.6,0.3,50.7
0.6,0.4,50.8
0.6,0.5,50.3
0.6,0.6,49.8
0.6,0.7,48.3
0.7,0.1,54.9
0.7,0.3,56.0
0.7,0.4,56.1
0.7,0.5,55.5
0.7,0.6,54.6
0.9,0.1,63.8
0.9,0.3,64.9
0.9,0.4,64.4
