solar,wind,system efficiency
0.1,0.1,97.3
0.1,0.3,95.3
0.1,0.4,93.8
0.1,0.5,92.3
0.1,0.6,90.9
0.1,0.7,89.9
0.1,0.9,86.7
0.3,0.1,89.6
0.3,0.3,86.7
0.3,0.4,85.3
0.3,0.5,83.5
0.3,0.6,82.2
0.3,0.7,81.1
0.3,0.9,79.5
0.4,0.1,85.3
0.4,0.3,82.5
0.4,0.4,81.2
0.4,0.5,79.2
0.4,0.6,77.7
0.4,0.7,76.5
0.4,0.9,75.9
0.5,0.1,81.5
0.5,0.3,78.4
0.5,0.4,77.0
0.5,0.5,75.1
0.5,0.6,73.7
0.5,0.7,72.7
0.6,0.1,78.0
0.6,0.3,75.2
0.6,0.4,73.8
0.6,0.5,72.1
0.6,0.6,70.9
0.6,0.7,70.2
0.7,0.1,75.8
0.7,0.3,72.8
0.7,0.4,71.4
0.7,0.5,69.7
0.7,0.6,68.6
0.9,0.1,71.2
0.9,0.3,69.0
0.9,0.4,67.8
