solar,wind,total demand
0.1,0.1,3215.684
0.1,0.3,3261.178
0.1,0.4,3306.283
0.1,0.5,3338.638
0.1,0.6,3357.204
0.1,0.7,3365.843
0.1,0.9,3413.473
0.3,0.1,3222.662
0.3,0.3,3266.584
0.3,0.4,3295.499
0.3,0.5,3348.873
0.3,0.6,3384.775
0.3,0.7,3422.104
0.3,0.9,3427.302
0.4,0.1,3228.576
0.4,0.3,3274.696
0.4,0.4,3307.192
0.4,0.5,3358.999
0.4,0.6,3401.245
0.4,0.7,3438.8
0.4,0.9,3414.671
0.5,0.1,3231.76
0.5,0.3,3279.095
0.5,0.4,3319.583
0.5,0.5,3373.358
0.5,0.6,3414.259
0.5,0.7,3443.728
0.6,0.1,3233.413
0.6,0.3,3285.045
0.6,0.4,3326.765
0.6,0.5,3379.68
0.6,0.6,3422.827
0.6,0.7,3446.089
0.7,0.1,3232.063
0.7,0.3,3290.208
0.7,0.4,3329.914
0.7,0.5,3386.85
0.7,0.6,3431.606
0.9,0.1,3249.202
0.9,0.3,3294.835
0.9,0.4,3339.463
