solar,wind,wind cap
0.1,0.1,108.5
0.1,0.3,348.3
0.1,0.4,451.3
0.1,0.5,549.3
0.1,0.6,669.0
0.1,0.7,798.0
0.1,0.9,1080.5
0.3,0.1,109.5
0.3,0.3,359.4
0.3,0.4,460.6
0.3,0.5,569.4
0.3,0.6,686.2
0.3,0.7,825.6
0.3,0.9,1112.9
0.4,0.1,107.8
0.4,0.3,359.8
0.4,0.4,459.2
0.4,0.5,567.8
0.4,0.6,687.2
0.4,0.7,827.2
0.4,0.9,1118.3
0.5,0.1,106.9
0.5,0.3,360.3
0.5,0.4,459.4
0.5,0.5,567.6
0.5,0.6,693.2
0.5,0.7,831.5
0.6,0.1,106.7
0.6,0.3,359.3
0.6,0.4,461.2
0.6,0.5,565.2
0.6,0.6,698.3
0.6,0.7,834.4
0.7,0.1,106.5
0.7,0.3,358.1
0.7,0.4,459.5
0.7,0.5,567.7
0.7,0.6,703.9
0.9,0.1,107.6
0.9,0.3,349.3
0.9,0.4,452.3
