solar,wind,wind share
0.1,0.1,10.0
0.1,0.3,29.2
0.1,0.4,38.1
0.1,0.5,46.6
0.1,0.6,53.5
0.1,0.7,59.4
0.1,0.9,69.4
0.3,0.1,9.8
0.3,0.3,28.9
0.3,0.4,38.0
0.3,0.5,46.1
0.3,0.6,53.0
0.3,0.7,58.7
0.3,0.9,67.0
0.4,0.1,9.8
0.4,0.3,28.6
0.4,0.4,37.5
0.4,0.5,45.4
0.4,0.6,52.3
0.4,0.7,57.9
0.4,0.9,65.3
0.5,0.1,9.8
0.5,0.3,28.4
0.5,0.4,37.0
0.5,0.5,44.8
0.5,0.6,51.6
0.5,0.7,57.1
0.6,0.1,9.8
0.6,0.3,28.1
0.6,0.4,36.5
0.6,0.5,44.2
0.6,0.6,50.9
0.6,0.7,55.9
0.7,0.1,9.7
0.7,0.3,27.8
0.7,0.4,36.2
0.7,0.5,43.7
0.7,0.6,50.1
0.9,0.1,9.6
0.9,0.3,27.4
0.9,0.4,35.7
