solar,wind,wind theo share
0.1,0.1,10.0
0.1,0.3,29.6
0.1,0.4,38.9
0.1,0.5,48.1
0.1,0.6,57.4
0.1,0.7,66.9
0.1,0.9,84.8
0.3,0.1,10.0
0.3,0.3,29.5
0.3,0.4,39.0
0.3,0.5,48.0
0.3,0.6,57.0
0.3,0.7,65.8
0.3,0.9,84.4
0.4,0.1,10.0
0.4,0.3,29.4
0.4,0.4,38.9
0.4,0.5,47.8
0.4,0.6,56.7
0.4,0.7,65.4
0.4,0.9,84.7
0.5,0.1,9.9
0.5,0.3,29.4
0.5,0.4,38.7
0.5,0.5,47.6
0.5,0.6,56.5
0.5,0.7,65.3
0.6,0.1,9.9
0.6,0.3,29.4
0.6,0.4,38.7
0.6,0.5,47.6
0.6,0.6,56.3
0.6,0.7,65.3
0.7,0.1,9.9
0.7,0.3,29.3
0.7,0.4,38.6
0.7,0.5,47.5
0.7,0.6,56.2
0.9,0.1,9.9
0.9,0.3,29.3
0.9,0.4,38.5
