solar,wind,VRE curt
0.1,0.1,0.3
0.1,0.3,3.8
0.1,0.4,5.4
0.1,0.5,9.2
0.1,0.6,14.2
0.1,0.7,20.1
0.1,0.9,30.8
0.3,0.1,4.9
0.3,0.3,7.8
0.3,0.4,10.3
0.3,0.5,14.4
0.3,0.6,19.0
0.3,0.7,23.5
0.3,0.9,32.0
0.4,0.1,12.1
0.4,0.3,14.3
0.4,0.4,15.9
0.4,0.5,19.4
0.4,0.6,23.4
0.4,0.7,28.0
0.4,0.9,36.1
0.5,0.1,18.3
0.5,0.3,19.5
0.5,0.4,21.1
0.5,0.5,24.8
0.5,0.6,28.5
0.5,0.7,32.9
0.6,0.1,25.7
0.6,0.3,25.3
0.6,0.4,26.3
0.6,0.5,29.3
0.6,0.6,32.8
0.6,0.7,37.1
0.7,0.1,31.8
0.7,0.3,29.5
0.7,0.4,30.4
0.7,0.5,33.3
0.7,0.6,36.7
0.9,0.1,40.8
0.9,0.3,37.3
0.9,0.4,37.5
