solar,wind,backup capacity factor low
0.1,0.1,5.65
0.1,0.3,10.81
0.1,0.4,11.2
0.1,0.5,12.03
0.1,0.6,12.26
0.1,0.7,11.95
0.1,0.9,11.8
0.3,0.1,13.17
0.3,0.3,12.32
0.3,0.4,12.68
0.3,0.5,13.26
0.3,0.6,13.22
0.3,0.7,13.24
0.3,0.9,12.91
0.4,0.1,14.63
0.4,0.3,12.91
0.4,0.4,12.9
0.4,0.5,13.07
0.4,0.6,13.24
0.4,0.7,13.23
0.4,0.9,13.08
0.5,0.1,14.7
0.5,0.3,12.89
0.5,0.4,12.94
0.5,0.5,12.83
0.5,0.6,12.98
0.5,0.7,13.04
0.6,0.1,14.84
0.6,0.3,12.95
0.6,0.4,13.0
0.6,0.5,12.78
0.6,0.6,13.01
0.6,0.7,13.08
0.7,0.1,15.01
0.7,0.3,12.91
0.7,0.4,13.03
0.7,0.5,12.8
0.7,0.6,13.05
0.9,0.1,15.3
0.9,0.3,12.96
0.9,0.4,12.98
