solar,wind,solar absolute curt
0.1,0.1,268373.2
0.1,0.3,486334.3
0.1,0.4,508155.0
0.1,0.5,381351.8
0.1,0.6,422803.2
0.1,0.7,478293.3
0.1,0.9,702931.9
0.3,0.1,52483164.3
0.3,0.3,64340963.6
0.3,0.4,79803921.1
0.3,0.5,86901950.2
0.3,0.6,98404358.3
0.3,0.7,103909689.9
0.3,0.9,111663093.0
0.4,0.1,182019186.1
0.4,0.3,207193911.3
0.4,0.4,221245894.3
0.4,0.5,231635657.5
0.4,0.6,246913605.4
0.4,0.7,265567595.3
0.4,0.9,289811632.8
0.5,0.1,343889027.3
0.5,0.3,385435099.8
0.5,0.4,413202461.7
0.5,0.5,442708349.4
0.5,0.6,466904803.1
0.5,0.7,498432951.4
0.6,0.1,580061782.5
0.6,0.3,628566664.4
0.6,0.4,659828990.3
0.6,0.5,684156491.3
0.6,0.6,716823829.6
0.6,0.7,755624128.5
0.7,0.1,834435463.3
0.7,0.3,866109896.8
0.7,0.4,912470663.0
0.7,0.5,952317100.5
0.7,0.6,1003059521.5
0.9,0.1,1371287134.6
0.9,0.3,1448511020.2
0.9,0.4,1506662899.6
