solar,wind,system cost
0.1,0.1,199.0
0.1,0.3,199.3
0.1,0.4,202.8
0.1,0.5,207.2
0.1,0.6,213.0
0.1,0.7,220.7
0.1,0.9,238.6
0.3,0.1,200.5
0.3,0.3,204.1
0.3,0.4,208.5
0.3,0.5,213.7
0.3,0.6,221.3
0.3,0.7,229.3
0.3,0.9,248.0
0.4,0.1,206.7
0.4,0.3,211.2
0.4,0.4,215.6
0.4,0.5,222.0
0.4,0.6,229.5
0.4,0.7,237.6
0.4,0.9,257.0
0.5,0.1,215.2
0.5,0.3,219.5
0.5,0.4,224.2
0.5,0.5,230.3
0.5,0.6,238.1
0.5,0.7,247.3
0.6,0.1,223.6
0.6,0.3,228.7
0.6,0.4,233.4
0.6,0.5,240.3
0.6,0.6,247.7
0.6,0.7,257.0
0.7,0.1,232.9
0.7,0.3,238.2
0.7,0.4,243.5
0.7,0.5,250.0
0.7,0.6,257.5
0.9,0.1,252.6
0.9,0.3,258.0
0.9,0.4,263.4
