solar,wind,system efficiency
0.1,0.1,99.2
0.1,0.3,99.0
0.1,0.4,99.1
0.1,0.5,99.1
0.1,0.6,99.0
0.1,0.7,98.8
0.1,0.9,98.9
0.3,0.1,97.8
0.3,0.3,97.9
0.3,0.4,97.7
0.3,0.5,97.7
0.3,0.6,97.7
0.3,0.7,97.7
0.3,0.9,97.7
0.4,0.1,97.6
0.4,0.3,97.5
0.4,0.4,97.4
0.4,0.5,97.4
0.4,0.6,97.5
0.4,0.7,97.5
0.4,0.9,97.6
0.5,0.1,97.3
0.5,0.3,97.3
0.5,0.4,97.3
0.5,0.5,97.3
0.5,0.6,97.3
0.5,0.7,97.5
0.6,0.1,97.3
0.6,0.3,97.3
0.6,0.4,97.3
0.6,0.5,97.4
0.6,0.6,97.4
0.6,0.7,97.6
0.7,0.1,97.4
0.7,0.3,97.2
0.7,0.4,97.2
0.7,0.5,97.2
0.7,0.6,97.4
0.9,0.1,97.3
0.9,0.3,97.1
0.9,0.4,97.0
