solar,wind,wind absolute curt
0.1,0.1,1512147.1
0.1,0.3,48506154.1
0.1,0.4,86738052.7
0.1,0.5,180687148.2
0.1,0.6,328180215.9
0.1,0.7,537015851.4
0.1,0.9,1046639707.9
0.3,0.1,10522061.1
0.3,0.3,85768193.0
0.3,0.4,152398887.1
0.3,0.5,288321522.0
0.3,0.6,467630366.6
0.3,0.7,688347870.0
0.3,0.9,1227269348.6
0.4,0.1,14674616.5
0.4,0.3,116284883.0
0.4,0.4,187331765.0
0.4,0.5,330462855.2
0.4,0.6,510248491.4
0.4,0.7,740228828.3
0.4,0.9,1287483906.9
0.5,0.1,17358498.5
0.5,0.3,125828468.4
0.5,0.4,205924767.3
0.5,0.5,357151163.6
0.5,0.6,540680819.6
0.5,0.7,773766330.2
0.6,0.1,20226550.1
0.6,0.3,133499929.3
0.6,0.4,218232174.9
0.6,0.5,371657502.6
0.6,0.6,559346744.2
0.6,0.7,795331242.7
0.7,0.1,22018044.2
0.7,0.3,137977431.3
0.7,0.4,225703364.1
0.7,0.5,381219429.8
0.7,0.6,569129566.7
0.9,0.1,23965656.6
0.9,0.3,142755742.9
0.9,0.4,234234248.6
