solar,wind,wind capacity factor
0.1,0.1,24.3
0.1,0.3,23.4
0.1,0.4,22.9
0.1,0.5,22.7
0.1,0.6,22.3
0.1,0.7,21.7
0.1,0.9,20.5
0.3,0.1,22.1
0.3,0.3,22.8
0.3,0.4,22.4
0.3,0.5,21.9
0.3,0.6,21.1
0.3,0.7,20.5
0.3,0.9,19.7
0.4,0.1,21.7
0.4,0.3,22.5
0.4,0.4,22.2
0.4,0.5,21.4
0.4,0.6,20.6
0.4,0.7,20.2
0.4,0.9,19.2
0.5,0.1,21.9
0.5,0.3,22.0
0.5,0.4,21.5
0.5,0.5,21.2
0.5,0.6,20.4
0.5,0.7,20.1
0.6,0.1,21.8
0.6,0.3,21.7
0.6,0.4,21.2
0.6,0.5,20.6
0.6,0.6,20.4
0.6,0.7,19.7
0.7,0.1,21.6
0.7,0.3,21.8
0.7,0.4,20.9
0.7,0.5,20.7
0.7,0.6,20.1
0.9,0.1,22.2
0.9,0.3,22.1
0.9,0.4,21.6
