solar,wind,wind curt
0.1,0.1,0.5
0.1,0.3,5.0
0.1,0.4,6.7
0.1,0.5,11.2
0.1,0.6,17.0
0.1,0.7,23.9
0.1,0.9,36.2
0.3,0.1,3.3
0.3,0.3,8.9
0.3,0.4,11.9
0.3,0.5,17.9
0.3,0.6,24.2
0.3,0.7,30.6
0.3,0.9,42.4
0.4,0.1,4.6
0.4,0.3,12.1
0.4,0.4,14.6
0.4,0.5,20.6
0.4,0.6,26.5
0.4,0.7,32.9
0.4,0.9,44.5
0.5,0.1,5.4
0.5,0.3,13.0
0.5,0.4,16.0
0.5,0.5,22.2
0.5,0.6,28.0
0.5,0.7,34.4
0.6,0.1,6.3
0.6,0.3,13.8
0.6,0.4,17.0
0.6,0.5,23.1
0.6,0.6,29.0
0.6,0.7,35.3
0.7,0.1,6.8
0.7,0.3,14.3
0.7,0.4,17.6
0.7,0.5,23.7
0.7,0.6,29.5
0.9,0.1,7.5
0.9,0.3,14.8
0.9,0.4,18.2
