solar,wind,wind share
0.1,0.1,10.0
0.1,0.3,28.5
0.1,0.4,37.3
0.1,0.5,44.4
0.1,0.6,49.8
0.1,0.7,53.3
0.1,0.9,57.4
0.3,0.1,9.7
0.3,0.3,27.3
0.3,0.4,35.3
0.3,0.5,41.0
0.3,0.6,45.5
0.3,0.7,48.6
0.3,0.9,51.8
0.4,0.1,9.5
0.4,0.3,26.4
0.4,0.4,34.2
0.4,0.5,39.7
0.4,0.6,44.1
0.4,0.7,47.0
0.4,0.9,49.9
0.5,0.1,9.5
0.5,0.3,26.1
0.5,0.4,33.6
0.5,0.5,38.9
0.5,0.6,43.2
0.5,0.7,45.9
0.6,0.1,9.4
0.6,0.3,25.8
0.6,0.4,33.2
0.6,0.5,38.4
0.6,0.6,42.6
0.6,0.7,45.3
0.7,0.1,9.3
0.7,0.3,25.7
0.7,0.4,33.0
0.7,0.5,38.1
0.7,0.6,42.3
0.9,0.1,9.3
0.9,0.3,25.6
0.9,0.4,32.7
