solar,wind,LDES absolute dispatch
0.1,0.1,406.4
0.1,0.3,312.6
0.1,0.4,345.9
0.1,0.5,467.7
0.1,0.6,377.2
0.1,0.7,475.3
0.1,0.9,587.8
0.3,0.1,346.5
0.3,0.3,537.2
0.3,0.4,553.8
0.3,0.5,691.5
0.3,0.6,547.8
0.3,0.7,807.7
0.3,0.9,930.7
0.4,0.1,503.7
0.4,0.3,631.3
0.4,0.4,644.9
0.4,0.5,714.1
0.4,0.6,803.9
0.4,0.7,873.6
0.4,0.9,922.4
0.5,0.1,538.3
0.5,0.3,814.1
0.5,0.4,610.8
0.5,0.5,612.3
0.5,0.6,883.4
0.5,0.7,920.8
0.6,0.1,665.1
0.6,0.3,641.0
0.6,0.4,906.7
0.6,0.5,1019.9
0.6,0.6,1060.2
0.6,0.7,883.5
0.7,0.1,760.9
0.7,0.3,953.8
0.7,0.4,952.4
0.7,0.5,1054.2
0.7,0.6,954.5
0.9,0.1,674.9
0.9,0.3,887.7
0.9,0.4,1205.2
