solar,wind,SDES absolute dispatch
0.1,0.1,23212870.9
0.1,0.3,30434216.0
0.1,0.4,29137144.2
0.1,0.5,30044540.5
0.1,0.6,33269723.9
0.1,0.7,36113985.1
0.1,0.9,36239240.4
0.3,0.1,112228270.5
0.3,0.3,143478452.8
0.3,0.4,148778109.8
0.3,0.5,158341673.3
0.3,0.6,171179439.7
0.3,0.7,187536655.8
0.3,0.9,190470515.7
0.4,0.1,188947471.0
0.4,0.3,207995467.9
0.4,0.4,228153401.4
0.4,0.5,246783046.5
0.4,0.6,254936447.9
0.4,0.7,256601440.0
0.4,0.9,258464331.3
0.5,0.1,286054054.6
0.5,0.3,300904361.4
0.5,0.4,307680783.8
0.5,0.5,311282066.3
0.5,0.6,315009223.2
0.5,0.7,307544298.3
0.6,0.1,326085686.3
0.6,0.3,344814715.1
0.6,0.4,349349298.4
0.6,0.5,360358481.3
0.6,0.6,358631349.9
0.6,0.7,344917135.1
0.7,0.1,364455146.7
0.7,0.3,404397706.2
0.7,0.4,397631058.7
0.7,0.5,394464913.1
0.7,0.6,378098635.5
0.9,0.1,437627802.8
0.9,0.3,443125095.8
0.9,0.4,427064577.8
