solar,wind,solar absolute curt
0.1,0.1,268847.0
0.1,0.3,485454.0
0.1,0.4,508380.2
0.1,0.5,379453.6
0.1,0.6,421802.6
0.1,0.7,479174.9
0.1,0.9,712702.5
0.3,0.1,52472709.3
0.3,0.3,64316081.6
0.3,0.4,79710318.0
0.3,0.5,86853055.1
0.3,0.6,99441878.1
0.3,0.7,104058695.4
0.3,0.9,112116019.5
0.4,0.1,182041031.6
0.4,0.3,207263280.4
0.4,0.4,220963725.1
0.4,0.5,232033849.6
0.4,0.6,247553316.0
0.4,0.7,266374476.5
0.4,0.9,289916181.8
0.5,0.1,343938748.5
0.5,0.3,385425819.8
0.5,0.4,413650907.6
0.5,0.5,442744806.4
0.5,0.6,466609704.5
0.5,0.7,498705229.5
0.6,0.1,580027789.2
0.6,0.3,628482847.8
0.6,0.4,660323283.2
0.6,0.5,683807384.0
0.6,0.6,716856585.9
0.6,0.7,755460843.4
0.7,0.1,834377045.0
0.7,0.3,866157253.7
0.7,0.4,912266224.7
0.7,0.5,951992045.6
0.7,0.6,1003910511.6
0.9,0.1,1371340411.2
0.9,0.3,1448563091.4
0.9,0.4,1506534925.0
