solar,wind,system cost
0.1,0.1,199.0
0.1,0.3,199.4
0.1,0.4,202.4
0.1,0.5,207.4
0.1,0.6,213.1
0.1,0.7,220.7
0.1,0.9,238.7
0.3,0.1,200.6
0.3,0.3,204.1
0.3,0.4,208.1
0.3,0.5,213.7
0.3,0.6,220.9
0.3,0.7,229.8
0.3,0.9,248.0
0.4,0.1,206.7
0.4,0.3,211.3
0.4,0.4,215.8
0.4,0.5,221.5
0.4,0.6,229.1
0.4,0.7,237.8
0.4,0.9,256.7
0.5,0.1,214.7
0.5,0.3,220.0
0.5,0.4,224.1
0.5,0.5,230.4
0.5,0.6,238.1
0.5,0.7,247.5
0.6,0.1,223.6
0.6,0.3,228.9
0.6,0.4,233.4
0.6,0.5,239.8
0.6,0.6,247.7
0.6,0.7,256.6
0.7,0.1,232.9
0.7,0.3,238.3
0.7,0.4,243.1
0.7,0.5,249.6
0.7,0.6,257.6
0.9,0.1,252.6
0.9,0.3,258.1
0.9,0.4,263.0
