solar,wind,system efficiency
0.1,0.1,99.2
0.1,0.3,99.0
0.1,0.4,99.0
0.1,0.5,99.0
0.1,0.6,98.9
0.1,0.7,98.8
0.1,0.9,98.8
0.3,0.1,96.4
0.3,0.3,95.5
0.3,0.4,95.3
0.3,0.5,95.0
0.3,0.6,94.6
0.3,0.7,94.2
0.3,0.9,94.1
0.4,0.1,94.1
0.4,0.3,93.6
0.4,0.4,93.0
0.4,0.5,92.5
0.4,0.6,92.2
0.4,0.7,92.2
0.4,0.9,92.1
0.5,0.1,91.4
0.5,0.3,91.0
0.5,0.4,90.8
0.5,0.5,90.7
0.5,0.6,90.6
0.5,0.7,90.8
0.6,0.1,90.3
0.6,0.3,89.8
0.6,0.4,89.7
0.6,0.5,89.4
0.6,0.6,89.4
0.6,0.7,89.8
0.7,0.1,89.3
0.7,0.3,88.2
0.7,0.4,88.4
0.7,0.5,88.5
0.7,0.6,88.9
0.9,0.1,87.4
0.9,0.3,87.2
0.9,0.4,87.6
