solar,wind,wind absolute curt
0.1,0.1,1509792.8
0.1,0.3,48508054.0
0.1,0.4,86722418.2
0.1,0.5,180706024.7
0.1,0.6,328222111.0
0.1,0.7,537073346.0
0.1,0.9,1046622266.5
0.3,0.1,10535099.2
0.3,0.3,85775081.2
0.3,0.4,152490642.1
0.3,0.5,288306392.1
0.3,0.6,466654602.6
0.3,0.7,688168256.0
0.3,0.9,1226821700.4
0.4,0.1,14645901.2
0.4,0.3,116226461.1
0.4,0.4,187618302.9
0.4,0.5,330084775.8
0.4,0.6,509626362.6
0.4,0.7,739482473.3
0.4,0.9,1287351953.2
0.5,0.1,17335650.5
0.5,0.3,125862370.6
0.5,0.4,205490349.5
0.5,0.5,357027544.6
0.5,0.6,540958490.2
0.5,0.7,773477417.5
0.6,0.1,20223097.2
0.6,0.3,133596102.5
0.6,0.4,217784085.2
0.6,0.5,372020437.8
0.6,0.6,559293823.9
0.6,0.7,795471424.4
0.7,0.1,22073778.8
0.7,0.3,137954993.2
0.7,0.4,225911399.7
0.7,0.5,381474417.3
0.7,0.6,568328363.9
0.9,0.1,23927753.1
0.9,0.3,142715431.3
0.9,0.4,234355792.5
