solar,wind,DK wind cap
0.1,0.1,13.9
0.1,0.3,15.9
0.1,0.4,17.5
0.1,0.5,19.8
0.1,0.6,23.7
0.1,0.7,29.0
0.1,0.9,36.8
0.3,0.1,13.5
0.3,0.3,14.7
0.3,0.4,16.3
0.3,0.5,18.9
0.3,0.6,21.9
0.3,0.7,25.2
0.3,0.9,37.7
0.4,0.1,13.3
0.4,0.3,14.6
0.4,0.4,16.0
0.4,0.5,18.8
0.4,0.6,21.3
0.4,0.7,25.0
0.4,0.9,44.5
0.5,0.1,13.1
0.5,0.3,14.5
0.5,0.4,16.0
0.5,0.5,18.7
0.5,0.6,21.6
0.5,0.7,27.8
0.6,0.1,12.7
0.6,0.3,14.3
0.6,0.4,16.2
0.6,0.5,18.7
0.6,0.6,22.8
0.6,0.7,31.1
0.7,0.1,12.3
0.7,0.3,14.2
0.7,0.4,16.1
0.7,0.5,19.0
0.7,0.6,25.4
0.9,0.1,12.6
0.9,0.3,14.5
0.9,0.4,16.6
