solar,wind,LDES absolute dispatch
0.1,0.1,8973.0
0.1,0.3,36020047.3
0.1,0.4,57027530.1
0.1,0.5,79934502.6
0.1,0.6,99644121.1
0.1,0.7,112180326.5
0.1,0.9,134244915.3
0.3,0.1,8585144.2
0.3,0.3,46009032.4
0.3,0.4,66700467.9
0.3,0.5,93239469.3
0.3,0.6,111139232.3
0.3,0.7,129232147.4
0.3,0.9,125507262.6
0.4,0.1,13617066.1
0.4,0.3,54732948.9
0.4,0.4,77324533.8
0.4,0.5,102432765.9
0.4,0.6,123195379.2
0.4,0.7,132392856.0
0.4,0.9,91995955.6
0.5,0.1,20443659.9
0.5,0.3,59202160.1
0.5,0.4,86211919.2
0.5,0.5,105141925.6
0.5,0.6,125307015.4
0.5,0.7,115179909.5
0.6,0.1,22280409.2
0.6,0.3,63601015.4
0.6,0.4,86649188.8
0.6,0.5,110538847.2
0.6,0.6,108634301.0
0.6,0.7,85401968.6
0.7,0.1,30020674.0
0.7,0.3,60701236.4
0.7,0.4,89244198.8
0.7,0.5,103404680.6
0.7,0.6,84218895.1
0.9,0.1,34200583.8
0.9,0.3,68461106.7
0.9,0.4,82512299.8
