solar,wind,LDES capacity factor
0.1,0.1,0.0
0.1,0.3,24.0
0.1,0.4,23.9
0.1,0.5,23.7
0.1,0.6,23.9
0.1,0.7,22.7
0.1,0.9,20.5
0.3,0.1,0.0
0.3,0.3,20.4
0.3,0.4,21.1
0.3,0.5,22.1
0.3,0.6,22.8
0.3,0.7,22.3
0.3,0.9,21.1
0.4,0.1,0.0
0.4,0.3,15.1
0.4,0.4,21.4
0.4,0.5,23.2
0.4,0.6,23.1
0.4,0.7,21.7
0.4,0.9,18.8
0.5,0.1,0.0
0.5,0.3,11.8
0.5,0.4,22.0
0.5,0.5,22.7
0.5,0.6,22.6
0.5,0.7,20.9
0.6,0.1,0.0
0.6,0.3,18.5
0.6,0.4,22.7
0.6,0.5,23.5
0.6,0.6,21.4
0.6,0.7,20.0
0.7,0.1,0.0
0.7,0.3,6.7
0.7,0.4,23.5
0.7,0.5,24.4
0.7,0.6,21.3
0.9,0.1,0.0
0.9,0.3,25.8
0.9,0.4,24.7
