solar,wind,LDES discharge cap
0.1,0.1,0.0
0.1,0.3,20.3
0.1,0.4,31.4
0.1,0.5,46.1
0.1,0.6,60.0
0.1,0.7,71.5
0.1,0.9,94.1
0.3,0.1,4.9
0.3,0.3,26.3
0.3,0.4,41.8
0.3,0.5,62.7
0.3,0.6,75.6
0.3,0.7,87.8
0.3,0.9,89.1
0.4,0.1,7.9
0.4,0.3,31.5
0.4,0.4,48.9
0.4,0.5,70.1
0.4,0.6,85.6
0.4,0.7,95.6
0.4,0.9,69.4
0.5,0.1,12.0
0.5,0.3,35.0
0.5,0.4,55.8
0.5,0.5,73.0
0.5,0.6,89.2
0.5,0.7,86.2
0.6,0.1,13.4
0.6,0.3,38.2
0.6,0.4,56.7
0.6,0.5,76.2
0.6,0.6,81.5
0.6,0.7,65.2
0.7,0.1,18.4
0.7,0.3,37.2
0.7,0.4,58.0
0.7,0.5,70.7
0.7,0.6,63.8
0.9,0.1,20.9
0.9,0.3,41.9
0.9,0.4,53.2
