solar,wind,LDES dod
0.1,0.1,32.0
0.1,0.3,37.6
0.1,0.4,37.3
0.1,0.5,34.2
0.1,0.6,30.9
0.1,0.7,29.4
0.1,0.9,26.3
0.3,0.1,14.6
0.3,0.3,24.4
0.3,0.4,25.1
0.3,0.5,24.8
0.3,0.6,23.7
0.3,0.7,22.0
0.3,0.9,25.5
0.4,0.1,15.9
0.4,0.3,23.3
0.4,0.4,23.7
0.4,0.5,23.2
0.4,0.6,21.8
0.4,0.7,21.0
0.4,0.9,23.1
0.5,0.1,14.8
0.5,0.3,22.6
0.5,0.4,26.5
0.5,0.5,23.3
0.5,0.6,22.6
0.5,0.7,22.1
0.6,0.1,14.7
0.6,0.3,21.6
0.6,0.4,25.0
0.6,0.5,24.8
0.6,0.6,23.0
0.6,0.7,23.1
0.7,0.1,12.1
0.7,0.3,19.5
0.7,0.4,24.8
0.7,0.5,26.8
0.7,0.6,22.6
0.9,0.1,11.5
0.9,0.3,26.6
0.9,0.4,24.3
