solar,wind,LDES energy cap
0.1,0.1,0.0
0.1,0.3,4.1
0.1,0.4,7.5
0.1,0.5,9.9
0.1,0.6,11.3
0.1,0.7,12.7
0.1,0.9,14.6
0.3,0.1,0.3
0.3,0.3,5.1
0.3,0.4,8.7
0.3,0.5,13.2
0.3,0.6,15.7
0.3,0.7,20.1
0.3,0.9,19.1
0.4,0.1,0.4
0.4,0.3,5.6
0.4,0.4,9.9
0.4,0.5,14.3
0.4,0.6,18.0
0.4,0.7,21.7
0.4,0.9,13.5
0.5,0.1,0.7
0.5,0.3,6.1
0.5,0.4,10.9
0.5,0.5,15.1
0.5,0.6,19.9
0.5,0.7,18.3
0.6,0.1,0.7
0.6,0.3,6.4
0.6,0.4,11.3
0.6,0.5,15.9
0.6,0.6,18.1
0.6,0.7,11.1
0.7,0.1,1.0
0.7,0.3,6.8
0.7,0.4,11.6
0.7,0.5,15.4
0.7,0.6,12.4
0.9,0.1,1.2
0.9,0.3,7.8
0.9,0.4,12.4
