solar,wind,LDES inv cost
0.1,0.1,1918.6
0.1,0.3,2046.6
0.1,0.4,2079.9
0.1,0.5,2079.2
0.1,0.6,2087.3
0.1,0.7,2078.9
0.1,0.9,2060.9
0.3,0.1,1874.4
0.3,0.3,1954.1
0.3,0.4,1942.9
0.3,0.5,1984.5
0.3,0.6,2018.5
0.3,0.7,2025.1
0.3,0.9,2010.3
0.4,0.1,1937.6
0.4,0.3,1953.1
0.4,0.4,1967.3
0.4,0.5,1979.1
0.4,0.6,2003.1
0.4,0.7,1989.5
0.4,0.9,1934.3
0.5,0.1,1942.8
0.5,0.3,1955.4
0.5,0.4,1958.4
0.5,0.5,1962.6
0.5,0.6,1975.9
0.5,0.7,1959.6
0.6,0.1,1950.5
0.6,0.3,1955.5
0.6,0.4,1957.8
0.6,0.5,1960.4
0.6,0.6,1952.0
0.6,0.7,1940.2
0.7,0.1,1962.1
0.7,0.3,1942.8
0.7,0.4,1961.6
0.7,0.5,1950.5
0.7,0.6,1941.8
0.9,0.1,1937.0
0.9,0.3,1940.1
0.9,0.4,1938.6
