solar,wind,SDES inv cost
0.1,0.1,828.5
0.1,0.3,916.5
0.1,0.4,939.6
0.1,0.5,954.2
0.1,0.6,941.8
0.1,0.7,900.3
0.1,0.9,853.8
0.3,0.1,803.5
0.3,0.3,903.8
0.3,0.4,929.9
0.3,0.5,933.5
0.3,0.6,946.2
0.3,0.7,942.3
0.3,0.9,908.6
0.4,0.1,808.9
0.4,0.3,913.1
0.4,0.4,935.1
0.4,0.5,946.5
0.4,0.6,945.8
0.4,0.7,939.4
0.4,0.9,883.7
0.5,0.1,822.0
0.5,0.3,905.8
0.5,0.4,930.0
0.5,0.5,936.8
0.5,0.6,938.8
0.5,0.7,925.4
0.6,0.1,826.5
0.6,0.3,900.6
0.6,0.4,923.7
0.6,0.5,925.6
0.6,0.6,925.7
0.6,0.7,904.8
0.7,0.1,819.7
0.7,0.3,897.9
0.7,0.4,916.7
0.7,0.5,917.0
0.7,0.6,914.5
0.9,0.1,832.6
0.9,0.3,901.0
0.9,0.4,909.2
