solar,wind,SDES no cycles
0.1,0.1,541
0.1,0.3,591
0.1,0.4,586
0.1,0.5,567
0.1,0.6,568
0.1,0.7,570
0.1,0.9,550
0.3,0.1,375
0.3,0.3,377
0.3,0.4,378
0.3,0.5,381
0.3,0.6,378
0.3,0.7,379
0.3,0.9,372
0.4,0.1,365
0.4,0.3,365
0.4,0.4,366
0.4,0.5,368
0.4,0.6,366
0.4,0.7,368
0.4,0.9,366
0.5,0.1,366
0.5,0.3,366
0.5,0.4,366
0.5,0.5,368
0.5,0.6,368
0.5,0.7,368
0.6,0.1,366
0.6,0.3,366
0.6,0.4,367
0.6,0.5,367
0.6,0.6,366
0.6,0.7,366
0.7,0.1,366
0.7,0.3,367
0.7,0.4,367
0.7,0.5,366
0.7,0.6,366
0.9,0.1,367
0.9,0.3,367
0.9,0.4,367
