solar,wind,VRE curt
0.1,0.1,0.1
0.1,0.3,0.9
0.1,0.4,1.6
0.1,0.5,2.9
0.1,0.6,5.8
0.1,0.7,9.7
0.1,0.9,16.1
0.3,0.1,6.0
0.3,0.3,3.1
0.3,0.4,2.8
0.3,0.5,3.5
0.3,0.6,5.2
0.3,0.7,7.7
0.3,0.9,16.1
0.4,0.1,11.1
0.4,0.3,6.3
0.4,0.4,5.8
0.4,0.5,6.2
0.4,0.6,7.4
0.4,0.7,10.3
0.4,0.9,22.9
0.5,0.1,15.0
0.5,0.3,10.5
0.5,0.4,9.3
0.5,0.5,9.7
0.5,0.6,11.2
0.5,0.7,16.2
0.6,0.1,18.6
0.6,0.3,14.3
0.6,0.4,13.1
0.6,0.5,13.6
0.6,0.6,16.7
0.6,0.7,24.0
0.7,0.1,22.1
0.7,0.3,17.9
0.7,0.4,17.0
0.7,0.5,18.3
0.7,0.6,23.5
0.9,0.1,29.2
0.9,0.3,24.8
0.9,0.4,24.6
