solar,wind,VRE share
0.1,0.1,20.0
0.1,0.3,38.9
0.1,0.4,47.6
0.1,0.5,55.8
0.1,0.6,62.8
0.1,0.7,68.6
0.1,0.9,78.3
0.3,0.1,37.5
0.3,0.3,56.9
0.3,0.4,65.6
0.3,0.5,73.2
0.3,0.6,80.3
0.3,0.7,85.6
0.3,0.9,92.6
0.4,0.1,44.3
0.4,0.3,64.1
0.4,0.4,72.5
0.4,0.5,79.9
0.4,0.6,86.8
0.4,0.7,91.4
0.4,0.9,94.3
0.5,0.1,50.7
0.5,0.3,69.8
0.5,0.4,78.1
0.5,0.5,85.2
0.5,0.6,91.0
0.5,0.7,93.8
0.6,0.1,56.3
0.6,0.3,75.0
0.6,0.4,82.9
0.6,0.5,89.3
0.6,0.6,93.4
0.6,0.7,94.5
0.7,0.1,61.4
0.7,0.3,79.4
0.7,0.4,86.6
0.7,0.5,91.8
0.7,0.6,94.1
0.9,0.1,69.1
0.9,0.3,85.8
0.9,0.4,91.7
