solar,wind,backup capacity
0.1,0.1,431.91
0.1,0.3,395.55
0.1,0.4,378.13
0.1,0.5,360.19
0.1,0.6,338.24
0.1,0.7,315.97
0.1,0.9,278.34
0.3,0.1,383.67
0.3,0.3,335.94
0.3,0.4,315.95
0.3,0.5,294.54
0.3,0.6,267.54
0.3,0.7,249.5
0.3,0.9,217.38
0.4,0.1,368.13
0.4,0.3,318.01
0.4,0.4,295.46
0.4,0.5,273.22
0.4,0.6,246.6
0.4,0.7,225.61
0.4,0.9,205.6
0.5,0.1,357.28
0.5,0.3,302.67
0.5,0.4,281.7
0.5,0.5,257.4
0.5,0.6,234.43
0.5,0.7,217.49
0.6,0.1,341.87
0.6,0.3,288.54
0.6,0.4,268.58
0.6,0.5,244.99
0.6,0.6,223.55
0.6,0.7,209.99
0.7,0.1,325.34
0.7,0.3,277.3
0.7,0.4,256.23
0.7,0.5,235.91
0.7,0.6,216.9
0.9,0.1,296.6
0.9,0.3,257.77
0.9,0.4,236.85
