solar,wind,backup capacity factor high
0.1,0.1,93.96
0.1,0.3,93.02
0.1,0.4,91.57
0.1,0.5,88.95
0.1,0.6,87.12
0.1,0.7,86.99
0.1,0.9,85.96
0.3,0.1,87.51
0.3,0.3,86.22
0.3,0.4,84.48
0.3,0.5,83.1
0.3,0.6,80.14
0.3,0.7,79.64
0.3,0.9,70.55
0.4,0.1,85.31
0.4,0.3,82.54
0.4,0.4,80.86
0.4,0.5,78.87
0.4,0.6,74.31
0.4,0.7,69.69
0.4,0.9,33.79
0.5,0.1,82.3
0.5,0.3,79.95
0.5,0.4,77.55
0.5,0.5,72.95
0.5,0.6,66.71
0.5,0.7,31.2
0.6,0.1,79.53
0.6,0.3,77.08
0.6,0.4,73.27
0.6,0.5,68.34
0.6,0.6,62.65
0.6,0.7,31.59
0.7,0.1,77.79
0.7,0.3,73.23
0.7,0.4,69.06
0.7,0.5,61.52
0.7,0.6,30.3
0.9,0.1,75.76
0.9,0.3,69.22
0.9,0.4,57.65
