solar,wind,backup capacity factor low
0.1,0.1,3.4
0.1,0.3,3.55
0.1,0.4,3.61
0.1,0.5,3.55
0.1,0.6,3.6
0.1,0.7,3.52
0.1,0.9,3.5
0.3,0.1,3.02
0.3,0.3,3.26
0.3,0.4,3.56
0.3,0.5,3.81
0.3,0.6,4.07
0.3,0.7,4.29
0.3,0.9,4.29
0.4,0.1,3.06
0.4,0.3,3.17
0.4,0.4,3.4
0.4,0.5,3.61
0.4,0.6,3.9
0.4,0.7,4.09
0.4,0.9,4.56
0.5,0.1,2.94
0.5,0.3,3.07
0.5,0.4,3.12
0.5,0.5,3.45
0.5,0.6,3.64
0.5,0.7,4.13
0.6,0.1,2.94
0.6,0.3,2.99
0.6,0.4,2.96
0.6,0.5,3.29
0.6,0.6,3.61
0.6,0.7,4.48
0.7,0.1,3.09
0.7,0.3,2.99
0.7,0.4,2.93
0.7,0.5,3.2
0.7,0.6,4.07
0.9,0.1,3.27
0.9,0.3,2.95
0.9,0.4,3.02
