solar,wind,solar absolute curt
0.1,0.1,53175.7
0.1,0.3,8133.8
0.1,0.4,4438.5
0.1,0.5,14519.4
0.1,0.6,36407.5
0.1,0.7,48413.7
0.1,0.9,248752.0
0.3,0.1,72460547.3
0.3,0.3,36998941.8
0.3,0.4,27657227.5
0.3,0.5,18309018.1
0.3,0.6,16203608.6
0.3,0.7,14643032.7
0.3,0.9,26612815.9
0.4,0.1,176148111.9
0.4,0.3,115065847.4
0.4,0.4,100092272.9
0.4,0.5,87025611.4
0.4,0.6,75929496.8
0.4,0.7,82570314.1
0.4,0.9,139534431.7
0.5,0.1,295560466.3
0.5,0.3,235408513.8
0.5,0.4,205446623.0
0.5,0.5,196434489.4
0.5,0.6,193845767.4
0.5,0.7,241341966.1
0.6,0.1,428147088.4
0.6,0.3,369280863.9
0.6,0.4,346408702.3
0.6,0.5,341205349.2
0.6,0.6,381816334.8
0.6,0.7,473514443.0
0.7,0.1,580306168.2
0.7,0.3,529603657.6
0.7,0.4,518159612.1
0.7,0.5,543644448.9
0.7,0.6,637158986.4
0.9,0.1,961932948.5
0.9,0.3,915165852.9
0.9,0.4,939501974.9
