solar,wind,solar theo share
0.1,0.1,10.0
0.1,0.3,9.8
0.1,0.4,9.7
0.1,0.5,9.6
0.1,0.6,9.5
0.1,0.7,9.5
0.1,0.9,9.4
0.3,0.1,30.0
0.3,0.3,29.4
0.3,0.4,28.9
0.3,0.5,28.5
0.3,0.6,28.3
0.3,0.7,27.9
0.3,0.9,27.9
0.4,0.1,40.0
0.4,0.3,39.1
0.4,0.4,38.5
0.4,0.5,37.9
0.4,0.6,37.5
0.4,0.7,37.1
0.4,0.9,38.1
0.5,0.1,50.0
0.5,0.3,48.9
0.5,0.4,48.0
0.5,0.5,47.2
0.5,0.6,46.6
0.5,0.7,46.6
0.6,0.1,59.8
0.6,0.3,58.6
0.6,0.4,57.5
0.6,0.5,56.5
0.6,0.6,56.1
0.6,0.7,57.4
0.7,0.1,69.7
0.7,0.3,68.3
0.7,0.4,67.0
0.7,0.5,65.9
0.7,0.6,66.6
0.9,0.1,89.3
0.9,0.3,87.0
0.9,0.4,85.7
