solar,wind,system cost
0.1,0.1,311.1
0.1,0.3,291.9
0.1,0.4,285.9
0.1,0.5,282.3
0.1,0.6,280.6
0.1,0.7,281.1
0.1,0.9,287.5
0.3,0.1,302.8
0.3,0.3,280.4
0.3,0.4,273.0
0.3,0.5,268.0
0.3,0.6,265.5
0.3,0.7,265.5
0.3,0.9,272.6
0.4,0.1,302.7
0.4,0.3,279.4
0.4,0.4,271.7
0.4,0.5,266.6
0.4,0.6,264.2
0.4,0.7,264.4
0.4,0.9,274.2
0.5,0.1,304.2
0.5,0.3,280.3
0.5,0.4,272.5
0.5,0.5,267.5
0.5,0.6,265.6
0.5,0.7,267.0
0.6,0.1,307.1
0.6,0.3,282.7
0.6,0.4,275.0
0.6,0.5,270.5
0.6,0.6,269.6
0.6,0.7,272.9
0.7,0.1,310.9
0.7,0.3,286.5
0.7,0.4,279.1
0.7,0.5,275.3
0.7,0.6,276.0
0.9,0.1,320.8
0.9,0.3,297.4
0.9,0.4,291.0
