solar,wind,system efficiency
0.1,0.1,97.5
0.1,0.3,95.3
0.1,0.4,93.6
0.1,0.5,92.3
0.1,0.6,91.0
0.1,0.7,89.7
0.1,0.9,86.4
0.3,0.1,91.6
0.3,0.3,88.7
0.3,0.4,86.8
0.3,0.5,84.8
0.3,0.6,83.4
0.3,0.7,81.9
0.3,0.9,80.5
0.4,0.1,88.6
0.4,0.3,85.7
0.4,0.4,83.9
0.4,0.5,81.7
0.4,0.6,80.2
0.4,0.7,78.9
0.4,0.9,82.0
0.5,0.1,86.4
0.5,0.3,83.5
0.5,0.4,81.5
0.5,0.5,79.3
0.5,0.6,77.7
0.5,0.7,77.7
0.6,0.1,83.9
0.6,0.3,81.4
0.6,0.4,79.2
0.6,0.5,77.3
0.6,0.6,76.8
0.6,0.7,79.5
0.7,0.1,81.4
0.7,0.3,79.3
0.7,0.4,77.5
0.7,0.5,76.3
0.7,0.6,77.4
0.9,0.1,77.9
0.9,0.3,75.6
0.9,0.4,74.5
