solar,wind,wind absolute curt
0.1,0.1,307006.3
0.1,0.3,11666506.9
0.1,0.4,26458316.4
0.1,0.5,56133925.1
0.1,0.6,131170793.4
0.1,0.7,252677082.6
0.1,0.9,528086838.5
0.3,0.1,5608570.5
0.3,0.3,22655183.1
0.3,0.4,35620821.6
0.3,0.5,71555484.6
0.3,0.6,136361049.6
0.3,0.7,240350907.2
0.3,0.9,626072063.0
0.4,0.1,5991856.8
0.4,0.3,28364506.1
0.4,0.4,50532980.1
0.4,0.5,91196665.1
0.4,0.6,162248689.3
0.4,0.7,285386635.1
0.4,0.9,859537721.9
0.5,0.1,3556091.2
0.5,0.3,41204477.5
0.5,0.4,69376489.7
0.5,0.5,116860022.3
0.5,0.6,201715695.0
0.5,0.7,383707777.9
0.6,0.1,5803753.3
0.6,0.3,56918618.3
0.6,0.4,86695205.5
0.6,0.5,146812273.3
0.6,0.6,267693292.8
0.6,0.7,529465316.3
0.7,0.1,8058696.4
0.7,0.3,68507994.9
0.7,0.4,104577337.3
0.7,0.5,181848617.8
0.7,0.6,358312458.5
0.9,0.1,13278158.9
0.9,0.3,88570955.1
0.9,0.4,144233207.1
