solar,wind,wind cap
0.1,0.1,112.9
0.1,0.3,345.0
0.1,0.4,448.6
0.1,0.5,551.2
0.1,0.6,673.0
0.1,0.7,799.4
0.1,0.9,1079.7
0.3,0.1,111.9
0.3,0.3,349.0
0.3,0.4,452.0
0.3,0.5,567.6
0.3,0.6,703.1
0.3,0.7,841.6
0.3,0.9,1115.9
0.4,0.1,110.5
0.4,0.3,350.0
0.4,0.4,453.3
0.4,0.5,570.0
0.4,0.6,711.4
0.4,0.7,847.4
0.4,0.9,1093.1
0.5,0.1,106.9
0.5,0.3,349.3
0.5,0.4,451.8
0.5,0.5,566.3
0.5,0.6,710.8
0.5,0.7,836.0
0.6,0.1,107.2
0.6,0.3,344.0
0.6,0.4,449.3
0.6,0.5,568.1
0.6,0.6,702.3
0.6,0.7,823.3
0.7,0.1,108.0
0.7,0.3,335.3
0.7,0.4,448.0
0.7,0.5,565.1
0.7,0.6,690.4
0.9,0.1,107.8
0.9,0.3,323.7
0.9,0.4,438.3
