solar,wind,wind curt
0.1,0.1,0.1
0.1,0.3,1.2
0.1,0.4,2.1
0.1,0.5,3.5
0.1,0.6,6.8
0.1,0.7,11.2
0.1,0.9,18.3
0.3,0.1,1.7
0.3,0.3,2.4
0.3,0.4,2.8
0.3,0.5,4.5
0.3,0.6,7.1
0.3,0.7,10.7
0.3,0.9,21.6
0.4,0.1,1.9
0.4,0.3,2.9
0.4,0.4,3.9
0.4,0.5,5.7
0.4,0.6,8.4
0.4,0.7,12.7
0.4,0.9,29.7
0.5,0.1,1.1
0.5,0.3,4.3
0.5,0.4,5.4
0.5,0.5,7.3
0.5,0.6,10.5
0.5,0.7,17.1
0.6,0.1,1.8
0.6,0.3,5.9
0.6,0.4,6.7
0.6,0.5,9.1
0.6,0.6,13.9
0.6,0.7,23.5
0.7,0.1,2.5
0.7,0.3,7.1
0.7,0.4,8.1
0.7,0.5,11.3
0.7,0.6,18.6
0.9,0.1,4.1
0.9,0.3,9.2
0.9,0.4,11.2
